url,pdate,description,title
http://blog.csdn.net/peihaozhu/article/list/2,2016-09-19 18:46,"
矩阵的快速幂是用来高效地计算矩阵的高次方的。将朴素的o（n）的时间复杂度，降到log（n）.最简单的例子来讲，一般我们正常计算实数x的n次幂时，都是从1开始，进行n次的x相乘。但做下简单的改进就能减少连乘的次数，方法如下：把n个矩阵进行两两分组，比如：A*A*A*A*A*A  =>  (A*A)*(A*A)*(A*A)这样变的好处是，你只需要计算一次A*A，然后将结果(A*A)连乘自己两次就能得到A...        ","
        矩阵快速幂            
        "
http://blog.csdn.net/peihaozhu/article/list/2,2016-09-19 18:45,"
RelativeLayout.LayoutParamsPer-child layout information associated with RelativeLayout.
Constructor
RelativeLayout.LayoutParams layoutParams = new LayoutParams(width, height);构造函数，设置相对布局的宽高。
layoutPara...        ","
        LayoutParams            
        "
http://blog.csdn.net/peihaozhu/article/list/2,2016-09-19 18:44,"
public final int getMeasuredHeight ()
Added in API level 1 
Like getMeasuredHeightAndState(), but only returns the raw width component (that is the result is masked by MEASURED_SIZE_MASK).Returns:The r...        ","
        getMeasured            
        "
http://blog.csdn.net/peihaozhu/article/list/2,2016-09-19 18:44,"
FontMetricsFontMetrics是Paint的一个内部类，主要定义了Paint绘图时的一些关键坐标位置，具体如下图
ascent:该距离是从所绘字符的baseline之上至该字符所绘制的最高点。这个距离是系统推荐。
descent:该距离是从所绘字符的baseline之下至该字符所绘制的最低点。这个距离是系统推荐的。
top:该距离是从所绘字符的baseline之上至可绘制区域的最高点。...        ","
        Android-drawText            
        "
http://blog.csdn.net/peihaozhu/article/list/2,2016-07-24 19:02,"
问题如下：class FileStruct{       int intPara;       FileStruct(){            intPara=0;       }       public void setintPara(int i){            intPara=i;       }       public int getintPara(){...        ","
        JAVA对象数组的初始化            
        "
http://blog.csdn.net/peihaozhu/article/list/2,2016-07-11 11:07,"
文章来源：c_cloud  KMP思想
  KMP算法是一种改进的字符串匹配算法，由D.E.Knuth，J.H.Morris和V.R.Pratt同时发现，因此人们称它为克努特——莫里斯——普拉特操作（The Knuth-Morris-Pratt Algorithm，简称KMP算法）。KMP算法的关键是利用匹配失败后的信息，尽量减少模式串与主串的匹配次数以达到快速匹配的目的。具体实现就是实现一个nex...        ","
        KMP笔记            
        "
http://blog.csdn.net/peihaozhu/article/list/2,2016-07-11 11:06,"
绘图单变量函数在 MATLAB 中绘图包含下面三个步骤： 
1. 定义函数
指定要绘制的函数图形的值范围
调用 MATLAB 的 plot(x, y)函数
 
当指定函数的值范围时，我们必须告诉 MATLAB 函数使用的变量的增量。使用较少的增量可以使得图形显示更加平滑。如果增量较小，MATLAB 会计算更多的函数值，不过通常不需要取得那么小。我们用一个简单的例子来看看如何做。我们绘制 0≤x≤10...        ","
        Matlab学习(五)            
        "
http://blog.csdn.net/peihaozhu/article/list/2,2016-07-11 11:05,"
矩阵矩阵是两维数字数组，要在 MATLAB 创建矩阵，输入的行各元素之间用空格或逗号分隔，行末使用分号标记。>> A = [-1,6; 7, 11]
A =
    -1 6
    7 11
>> B = [2,0,1;-1,7,4; 3,0,1]
B =
    2 0 1
    -1 7 4
    3 0 1转置>> A = [-1 2 0; 6 4 1]
A =
    -1 2 0...        ","
        Matlab学习(四)            
        "
http://blog.csdn.net/peihaozhu/article/list/2,2016-07-11 11:05,"
文件存储.mat在Matlab中，为了方便我们在之后的工作中随时进行中断的工作，我们可以在IDE中通过：
点击“文件（File）”下接菜单
选择“保存工作区为（Save Workspace As…）”
输入文件名
点击“保存（Save）”按钮
将当前工作状态保存为.mat文件，之后我们就可以随时、随地在任何安装Matlab软件的计算机上使用当前工作状态。.m有时候，特别是复杂工程，我们可能无法坐在一...        ","
        Matlab学习(三)            
        "
http://blog.csdn.net/peihaozhu/article/list/2,2016-07-09 22:45,"
辅助指令help工具
help 目录名      显示指定目录中的所有命令及其函数
help lang     将列出与 MATLAB 编程语言的所有命令及其函数
help matfun   将列出与数值线性代数有关的所有矩阵函数
help elfun    列出所有基本函数 help 命令名/函数名/符号   显示指定的命令名/函数名/符号的详细信息
例：显示计算矩阵特征值和特征向量的函数eig的...        ","
        Matlab学习（二）            
        "
